race_id,race_date,target_market,observed_tv,target_turnover_won,trifecta_turnover_won,noise_base_per_sqrt_won,break_even_u_won,noise_tv_u_1000,noise_tv_u_10000,noise_tv_u_50000,noise_tv_u_100000
2016-10-02_3_05,2016-10-02,exacta,0.0350791355938,839901100,396175800,0.000116787540666,90220.3983011,0.00369314630833,0.0116787540666,0.0261144879853,0.0369314630833
2016-10-07_2_06,2016-10-07,exacta,0.0529523879432,73060800,203112600,0.000287132502569,34009.9808488,0.00907992698382,0.0287132502569,0.0642047794294,0.0907992698382
2016-10-07_2_07,2016-10-07,exacta,0.0431885658259,346045100,215369000,0.000192660007842,50252.1234337,0.00609244438808,0.0192660007842,0.0430800874081,0.0609244438808
2016-10-07_2_09,2016-10-07,exacta,0.146847381582,28713000,32804100,0.000481919670859,92850.2563263,0.0152396380915,0.0481919670859,0.107760514374,0.152396380915
2016-10-07_3_05,2016-10-07,exacta,0.0491058799679,463292100,226695600,0.000159589116287,94680.4811165,0.00504665097241,0.0159589116287,0.0356852112487,0.0504665097241
2016-10-07_3_09,2016-10-07,exacta,0.0728908057291,376100900,196138000,0.000244672418893,88751.4527709,0.00773722124323,0.0244672418893,0.0547104160863,0.0773722124323
2016-10-08_1_08,2016-10-08,exacta,0.0569953882331,590535700,296845200,0.000174617703154,106537.595253,0.00552189661753,0.0174617703154,0.0390457054326,0.0552189661753
2016-10-08_2_03,2016-10-08,exacta,0.0463211604976,324629600,212479400,0.000207388362891,49887.3110711,0.0065581958695,0.0207388362891,0.0463734477167,0.065581958695
2016-10-08_2_08,2016-10-08,exacta,0.062867431853,375811100,214900300,0.000286631489075,48106.486573,0.00906408354601,0.0286631489075,0.0640927494063,0.0906408354601
2016-10-09_1_02,2016-10-09,exacta,0.0605070818837,408918300,233265200,0.000181126526776,111595.915207,0.00572772369288,0.0181126526776,0.04050112264,0.0572772369288
2016-10-09_1_05,2016-10-09,exacta,0.0514459532298,547176400,292343800,0.000222039307684,53683.7330458,0.00702149942368,0.0222039307684,0.0496494985658,0.0702149942368
2016-10-09_3_05,2016-10-09,exacta,0.0666201742833,887407800,382825700,7.93328964859e-05,705187.989931,0.00250872646274,0.00793328964859,0.0177393749394,0.0250872646274
2016-10-14_2_02,2016-10-14,exacta,0.0365341897536,283975900,168929400,0.000205401876887,31636.624863,0.00649537766637,0.0205401876887,0.0459292559426,0.0649537766637
2016-10-14_2_05,2016-10-14,exacta,0.0811313347314,82473300,209241900,0.000227459985955,127223.466765,0.00719291632166,0.0227459985955,0.0508615990756,0.0719291632166
2016-10-14_2_07,2016-10-14,exacta,0.065467922011,317173300,187752100,0.000219194705226,89206.6014541,0.00693154519563,0.0219194705226,0.0490134261193,0.0693154519563
2016-10-14_2_09,2016-10-14,exacta,0.18496029951,27589500,21292400,0.000592567820882,97427.3551028,0.0187386398211,0.0592567820882,0.132502192877,0.187386398211
2016-10-14_3_06,2016-10-14,exacta,0.0610818796857,370976700,202648400,0.000209927614731,84661.4386298,0.00663849406316,0.0209927614731,0.0469412416892,0.0663849406316
2016-10-15_2_03,2016-10-15,exacta,0.0429957856638,362311000,230652200,0.000156390410803,75584.2899479,0.00494549902346,0.0156390410803,0.0349699589584,0.0494549902346
2016-10-15_2_07,2016-10-15,exacta,0.0645982560781,436742700,235217300,0.000191582494428,113692.008917,0.00605837042209,0.0191582494428,0.042839148084,0.0605837042209
2016-10-15_2_08,2016-10-15,exacta,0.0623826960773,431850800,232699300,0.000203468528234,94001.2856114,0.00643423981381,0.0203468528234,0.0454969460413,0.0643423981381
2016-10-21_2_07,2016-10-21,exacta,0.0408884006726,349479800,209325300,0.000199322655199,42081.0841088,0.00630313579701,0.0199322655199,0.044569900648,0.0630313579701
2016-10-21_2_09,2016-10-21,exacta,0.10598401064,22702900,25813500,0.00054180332947,38264.6161459,0.0171333256499,0.054180332947,0.121150907513,0.171333256499
