race_id,race_date,target_market,model,tv
2025-08-03_1_04,2025-08-03,win,harville,6.93889390391e-18
2025-08-03_1_04,2025-08-03,exacta,main,0.0526962561094
2025-08-03_1_04,2025-08-03,exacta,harville,0.117852814593
2025-08-03_1_04,2025-08-03,quinella,main,0.0430312412022
2025-08-03_1_04,2025-08-03,quinella,harville,0.11512853935
2025-08-03_1_04,2025-08-03,trio,main,0.0432940573425
2025-08-03_1_04,2025-08-03,trio,harville,0.144764856482
2025-08-03_1_05,2025-08-03,win,main,0.0402373745884
2025-08-03_1_05,2025-08-03,win,harville,4.59701721134e-17
2025-08-03_1_05,2025-08-03,exacta,main,0.0487528663162
2025-08-03_1_05,2025-08-03,exacta,harville,0.117746539802
2025-08-03_1_05,2025-08-03,quinella,main,0.0658125726587
2025-08-03_1_05,2025-08-03,quinella,harville,0.143823960952
2025-08-03_1_05,2025-08-03,trio,main,0.0433318039375
2025-08-03_1_05,2025-08-03,trio,harville,0.182542466339
2025-08-03_1_06,2025-08-03,win,main,0.0333137808001
2025-08-03_1_06,2025-08-03,win,harville,6.07153216592e-17
2025-08-03_1_06,2025-08-03,exacta,main,0.0404860277645
2025-08-03_1_06,2025-08-03,exacta,harville,0.100039669216
2025-08-03_1_06,2025-08-03,quinella,main,0.0442492370455
2025-08-03_1_06,2025-08-03,quinella,harville,0.104585495776
2025-08-03_1_06,2025-08-03,trio,main,0.0365320223553
2025-08-03_1_06,2025-08-03,trio,harville,0.134623759565
2025-08-03_1_07,2025-08-03,win,main,0.0328232156264
2025-08-03_1_07,2025-08-03,win,harville,1.73472347598e-17
2025-08-03_1_07,2025-08-03,exacta,main,0.0597574349516
2025-08-03_1_07,2025-08-03,exacta,harville,0.117767515312
2025-08-03_1_07,2025-08-03,quinella,main,0.0752535852699
2025-08-03_1_07,2025-08-03,quinella,harville,0.142465908372
2025-08-03_1_07,2025-08-03,trio,main,0.0324182072351
2025-08-03_1_07,2025-08-03,trio,harville,0.14495509331
2025-08-03_1_08,2025-08-03,win,main,0.0234824571469
2025-08-03_1_08,2025-08-03,win,harville,5.03069808033e-17
2025-08-03_1_08,2025-08-03,exacta,main,0.0568620509261
2025-08-03_1_08,2025-08-03,exacta,harville,0.0909166670345
2025-08-03_1_08,2025-08-03,quinella,main,0.0714356209337
2025-08-03_1_08,2025-08-03,quinella,harville,0.100878867286
2025-08-03_1_08,2025-08-03,trio,main,0.0465894715771
2025-08-03_1_08,2025-08-03,trio,harville,0.15983266104
2025-08-03_1_10,2025-08-03,win,main,0.0690072428729
2025-08-03_1_10,2025-08-03,win,harville,3.98986399475e-17
2025-08-03_1_10,2025-08-03,exacta,main,0.046536683596
2025-08-03_1_10,2025-08-03,exacta,harville,0.10897739524
2025-08-03_1_10,2025-08-03,quinella,main,0.0364240674146
2025-08-03_1_10,2025-08-03,quinella,harville,0.0966960230549
2025-08-03_1_10,2025-08-03,trio,main,0.0457004443856
2025-08-03_1_10,2025-08-03,trio,harville,0.120870407758
2025-08-03_1_13,2025-08-03,win,main,0.0556671292846
2025-08-03_1_13,2025-08-03,win,harville,7.8062556419e-17
2025-08-03_1_13,2025-08-03,exacta,main,0.0671114896923
2025-08-03_1_13,2025-08-03,exacta,harville,0.114980521231
2025-08-03_1_13,2025-08-03,quinella,main,0.0880650849165
2025-08-03_1_13,2025-08-03,quinella,harville,0.123162832648
2025-08-03_1_13,2025-08-03,trio,main,0.0493070337917
2025-08-03_1_13,2025-08-03,trio,harville,0.153263501321
