probability_model,tail_model,target_market,baseline_model,challenger_model,loss,n_races,n_race_dates,n_years,median_loss_reduction,mean_loss_reduction,bootstrap_median_ci_lower,bootstrap_median_ci_upper,challenger_better_race_share,years_with_positive_median,minimum_year_median_reduction,maximum_year_median_reduction
stage_temperature,power,trio,M-R,M-S2,js,15864,1130,8,0.0005058659657845507,0.000374838925667045,0.0004853719094890822,0.0005198661387713643,0.7025340393343419,8,0.00043591952688937577,0.0006190652828464982
stage_temperature,power,trio,M-R,M-S2,log_rmse,15864,1130,8,-0.0008915068725428021,-0.00510229403600135,-0.0010462939017212459,-0.0007278809905299833,0.4482476046394352,0,-0.001513095129093922,-0.00028365861702878137
stage_temperature,power,trio,M-R,M-S2,tv,15864,1130,8,0.00126428272942318,0.0009583564623869335,0.0012100126013792623,0.0013143509786110869,0.695600100857287,8,0.0010799318071642028,0.0014611371827238373
stage_temperature,power,trio,M-R,M-S3,js,15864,1130,8,0.0005058659657845542,0.0003748389256670449,0.00048488961396587414,0.000519938453305592,0.7025340393343419,8,0.0004359195268893862,0.0006190652828464704
stage_temperature,power,trio,M-R,M-S3,log_rmse,15864,1130,8,-0.0008915068725427744,-0.005102294036001349,-0.0010439427353770292,-0.0007366539847831173,0.4482476046394352,0,-0.001513095129094033,-0.00028365861702872586
stage_temperature,power,trio,M-R,M-S3,tv,15864,1130,8,0.001264282729423194,0.0009583564623869332,0.0012040764415665469,0.0013126236357103639,0.695600100857287,8,0.0010799318071642028,0.0014611371827238373
stage_temperature,power,trio,M-S2,M-S3,js,15864,1130,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,power,trio,M-S2,M-S3,log_rmse,15864,1130,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,power,trio,M-S2,M-S3,tv,15864,1130,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,prelec,trio,M-R,M-S2,js,15864,1130,8,0.019378170009502114,0.018734523063877975,0.019132398527509593,0.019622559200898514,0.9632501260716086,8,0.01643927119857002,0.02060894924702781
stage_temperature,prelec,trio,M-R,M-S2,log_rmse,15864,1130,8,0.2840268943698824,0.30250856712442165,0.28205282670386067,0.2870431743651149,0.9821608673726677,8,0.27354397151258325,0.29914214635067915
stage_temperature,prelec,trio,M-R,M-S2,tv,15864,1130,8,0.054233270309550566,0.051851665550152234,0.05381547309978568,0.054750537629611296,0.9660867372667675,8,0.04618353161176733,0.05715780199251924
stage_temperature,prelec,trio,M-R,M-S3,js,15864,1130,8,0.035975069482403796,0.03385133858277342,0.035336780228311146,0.03650734728129111,0.934064548663641,8,0.02913184216331846,0.038636692989393324
stage_temperature,prelec,trio,M-R,M-S3,log_rmse,15864,1130,8,0.4861832095559556,0.4262706768441911,0.4806630660186396,0.49227205234206795,0.9087871911245587,8,0.44990488661811046,0.5468547542185712
stage_temperature,prelec,trio,M-R,M-S3,tv,15864,1130,8,0.12131607712584215,0.11079830174516433,0.12016851562436998,0.12274225754141384,0.9409984871406959,8,0.10223697863175847,0.1281108534494105
stage_temperature,prelec,trio,M-S2,M-S3,js,15864,1130,8,0.016283737330530377,0.015116815518895446,0.015974457872428606,0.016523514789225324,0.8847075138678769,8,0.013463068564275652,0.018441636134460555
stage_temperature,prelec,trio,M-S2,M-S3,log_rmse,15864,1130,8,0.21319719294851552,0.1237621097197694,0.20898353557212954,0.21739090357985394,0.7664523449319214,8,0.18133067090149652,0.254873645079658
stage_temperature,prelec,trio,M-S2,M-S3,tv,15864,1130,8,0.06631215721063136,0.0589466361950121,0.06537963003158592,0.06744064208567911,0.8971886031265759,8,0.05577496834066138,0.07084655125579709
