probability_model,tail_model,price_model,target_market,n_races,n_years,median_tv,mean_tv,median_mae,median_log_rmse,median_js,median_raw_mae,mean_support_share,all_arguments_supported_race_share,median_common_tv,median_common_log_rmse,median_trimmed_tv,median_trimmed_log_rmse,mean_common_support_share
stage_temperature,isotonic_clip,M-S3,trio,15864,8,0.1351968973029682,0.1458507445538997,0.0021035813976086537,0.47428808281310275,0.014522733812727052,0.0028813941101027037,0.9652788855748387,0.8804210791729703,0.1312680071701077,0.40461273090551764,0.13462974950404827,0.4534216676629979,0.603905233907125
stage_temperature,none,discounted_harville,exacta,18720,8,0.10307738409414823,0.11441803683890935,0.0021082766482819117,0.4296656033825197,0.008809735389808223,0.002887494644390544,1.0,1.0,0.10054460034613019,0.3209738953405679,0.1023109279103539,0.3862041786586303,0.6828983179243596
stage_temperature,none,discounted_harville,quinella,19286,8,0.10245279675970254,0.11266816693541876,0.0041332415174501974,0.44170072753003425,0.008887660052282982,0.005663009172216165,1.0,1.0,0.10019247682046928,0.3320009567392165,0.10151084568392102,0.3879172402984398,0.7915021832189726
stage_temperature,none,discounted_harville,trifecta,3323,8,0.14643663995689513,0.15822811456317998,0.0006186579823206648,0.462126099241425,0.016682171736138326,0.0008476473789737365,1.0,1.0,0.13984266464142514,0.3878935543568946,0.1460109006270691,0.4437812815376372,0.3714115543900377
stage_temperature,none,discounted_harville,trio,15864,8,0.1319273188056587,0.14364507136120802,0.002064196315609156,0.5173867554315028,0.014105232790718266,0.0028278342025479138,1.0,1.0,0.1271856645144874,0.3873058817786047,0.13125436716369,0.47180924664799884,0.603905233907125
stage_temperature,power,M-R,exacta,18720,8,0.29084934210321667,0.2965224498252603,0.005817214389267073,1.0268493923314534,0.060097333751260654,0.007969293174942667,0.6953244262859648,0.03408119658119658,0.25678692064121217,0.8011294198222498,0.28366638888429246,0.9508282250374525,0.6828983179243596
stage_temperature,power,M-R,quinella,19286,8,0.26429486384499196,0.26868054826445975,0.010498533665900273,0.9391794609412594,0.05049073269938476,0.014379993502210465,0.8136992694067774,0.13222026340350512,0.2433142843771074,0.7961712899158966,0.25701585187655596,0.859193537533617,0.7915021832189726
stage_temperature,power,M-R,trifecta,3323,8,0.29546259674681635,0.2979219076951918,0.0012652312571009782,0.8760369809530002,0.06217233333346711,0.0017331694823036921,0.3813840166420666,0.0009027986758952753,0.23313662851056494,0.6232849549252881,0.28883667791122924,0.8177269698834958,0.3714115543900377
stage_temperature,power,M-R,trio,15864,8,0.30062021232476654,0.30278336049153926,0.004665219596625338,1.0164245250213715,0.06472491186594387,0.00638980041406834,0.6386745498366149,0.015506807866868382,0.2642341448186996,0.7825688722509918,0.29393851299296336,0.9406499224045051,0.603905233907125
stage_temperature,power,M-S2,exacta,18720,8,0.29084934210321667,0.2965224498252603,0.005817214389267073,1.0268493923314537,0.06009733375126066,0.007969293174942667,0.9799106317175227,0.8531517094017094,0.25678692064121217,0.8011294198222499,0.28366638888429246,0.9508282250374525,0.6828983179243596
stage_temperature,power,M-S2,quinella,19286,8,0.263643620732806,0.26805827891453793,0.010465021818338284,0.9401711888430451,0.0501883034780171,0.014338581407286494,0.9612557880952053,0.8340765321995229,0.24202796169770951,0.7939641352869029,0.2563574064107419,0.8592593810717114,0.7915021832189726
stage_temperature,power,M-S2,trifecta,3323,8,0.29546259674681635,0.2979219076951918,0.0012652312571009782,0.8760369809530002,0.062172333333467104,0.0017331694823036921,0.9804223341275704,0.6217273547998796,0.23313662851056496,0.6232849549252882,0.28883667791122924,0.8177269698834959,0.3714115543900377
stage_temperature,power,M-S2,trio,15864,8,0.29938928563523315,0.30182500402915224,0.0046500750066362315,1.019528773239872,0.06432884062637387,0.006369806305543051,0.7477862242187129,0.177130610186586,0.26229132826094403,0.7791426559809844,0.29279520066212683,0.9419297261349311,0.603905233907125
stage_temperature,power,M-S3,trifecta,3323,8,0.2954625967468163,0.2979219076951918,0.0012652312571009782,0.8760369809530001,0.06217233333346711,0.0017331694823036921,0.9890525510033485,0.9208546494131808,0.23313662851056496,0.6232849549252881,0.2888366779112293,0.8177269698834959,0.3714115543900377
stage_temperature,power,M-S3,trio,15864,8,0.29938928563523315,0.30182500402915224,0.0046500750066362315,1.0195287732398721,0.06432884062637387,0.006369806305543051,0.9652788855748387,0.8804210791729703,0.26229132826094403,0.7791426559809844,0.29279520066212683,0.9419297261349311,0.603905233907125
stage_temperature,prelec,M-R,exacta,18720,8,0.2533826177711207,0.2567496067852671,0.005071934426425953,1.0148521767279406,0.047815396556910715,0.006947651131067493,0.6953244262859648,0.03408119658119658,0.21595026825771227,0.7356666932020596,0.24319808773259105,0.9102241961995114,0.6828983179243596
stage_temperature,prelec,M-R,quinella,19286,8,0.18335970878334634,0.18688822919681028,0.0072354046912989295,0.8097026110925747,0.027453397750184405,0.009914487956313913,0.8136992694067774,0.13222026340350512,0.16951973129114392,0.6508414477991373,0.17413444692852267,0.705835727550735,0.7915021832189726
stage_temperature,prelec,M-R,trifecta,3323,8,0.317858501431597,0.31798511632245346,0.0013634925206781636,0.9778191341021195,0.07209495038468978,0.001867833479833182,0.3813840166420666,0.0009027986758952753,0.2335127495063327,0.6304075760872225,0.30703062780482454,0.8935007498931046,0.3714115543900377
stage_temperature,prelec,M-R,trio,15864,8,0.27747971827390144,0.27534221120266184,0.0042750757398378435,1.0443513476857174,0.05643914429731568,0.005856385901330072,0.6386745498366149,0.015506807866868382,0.2326541766274159,0.7308781423725226,0.2676162774681488,0.9331286440028923,0.603905233907125
